user,waktu,review
ahmad a'izudin al maluf,3 tahun lalu,"Dikelola dengan baik,jalan mulus sampe atas
Untuk motor umum ada batas terakhir ngga boleh masuk, harus pake ojek/jalan kaki, lebih cape tp momen nya lebih dapet"
Nur Ika Liana,Diedit 8 tahun lalu,"Jalur wisata berada di Kediri. Untuk saat ini, kawah Kelud hanya dapat diakses melalui jalur pendakian baik itu Tulungrejo ataupun Karangrejo. Pendakian disarankan melewati Tulungrejo karena sudah ada pos pendakian. Di sana pendaki dapat …"
Dwi Setyawan,setahun lalu,Salah satu wisata terbaik di Kediri. Tarif ojek untuk naik ke kawah cukup terjangkau dengan harga 40k/orang dan sudah PP. Tukang ojeknya pun ramah dan tak segan menawarkan bantuan untuk menjadi fotografer😁🙏🏻 …
Ika,6 tahun lalu,"Untuk menuju ke gunung kelud bisa dari kediri dan blitar. Kalau dari kediri berarti lewat jalur wisata, dan jika dari blitar melewati jalur pendakian yaitu bisa dari tulungrejo maupun karangrejo. Dulu kalau ingin sampai kawahnya harus …"
Dian Afriani,Diedit 2 tahun lalu,"Senang banget deh bisa berkunjung ke tempat wisata ini. Sejenak melepas kepenatan akibat aktivitas sehari hari, dan saat bosan pergi ke pantai,  pergi ke gunung adalah solusi nya. Yang menarik dari gunung kelud ini adalah, kita bisa …"
wilda syamsiah,7 tahun lalu,"Gunung kelud cocok banget untuk pendaki pemula, rintangan tidak terlalu banyak, dan jalannya pun sudah aspal.
Untuk keindahan tak jauh indah dari gunung gunung lainnya, gunung kelud cukup …"
Tiar Sumimasen,setahun lalu,mungkin pemandangan nya jauh lebih bagus ketika tidak mendapatkan kabut
Anisah Noor Immama,6 tahun lalu,"Keren, tapi bagi yang ga kuat jalan jauh mending ditahan egonya biar ga sampe ujung hehe karenanya jalannya nanjak, lalu diatas kita bisa sewa motor untuk ke kawah, sekitar 25000 /motor untuk diantar ke kawah dan kembali. Jalanan dikawah waktu kesana sudah 1/2 jadi, jangan lupa foto dan video saat perjalanan ke kawah."
sa'iidatul abadiyah,3 tahun lalu,Tempat wisata alam yang recommended banget. Buat sekeluarga/temen/pasangan worth it sama tiket masuknya. Kalau gamau capek² sampek kawah naik ojek aja..
Rud Yanto,7 tahun lalu,"gunung yang keren yaang beraada di kediri, spanjang jalan menuju puncak gunung kediri di suguhi banyak.pemandangan indah, banyak tempat selfie yang menarik, jalannya pun sudah beraspal kalo di.lihat mirip pegunungan di cina"
Nur Aisyah,setahun lalu,"Indah sekali gunung Kelud kawah nya biru telur asin, di sana sejuk sekali betah deh kalo kesana"
Dine Wahyu,3 tahun lalu,"First time ke Gunung Kelud, dua kali gagal karena hujan. Pastikan cuaca cerah supaya perjalanan aman dan menyenangkan.. Lokasi mudah dicari dgn mengikuti gmaps. Gunakan kendaraan dlm kondisi bagus ya karena medan nya agak naik turun tp …"
Linda Septiyono,8 tahun lalu,Masya Allah... pemandanganx sangat bagusss... udara sejuk segar.. sayangx pada saat saya ke sana masih ada proyek di Gunung Kelud jadi di tutup sebagian... uk nyampe ke atas kita naik ojek dolo... murah ongkos ojekx dan kitapun ditunggu di sana sampai balik lagi ke parkiran mobil
Fandhi Yulian Mayori,7 tahun lalu,"Perjalanan menuju ke kawah kelud dari batas akhir kendaraan luyaman jauh, dikarenakan dampak letusan pada tahun 2014, jarak tempuhnya kurang lebih 4 KM bisa ditempuh dengan jalan kaki atau dengan menyewa ojek. …"
AD Adam,6 tahun lalu,"Berbeda dengan gunung lainnya karena ketika naik gunung kita harus jalan memuncak, gunung kelud sudah diaspal jadi semua orang bisa menikmati ketinggian indahnya gunung kelud. …"
Tantyo Dharmawan,7 tahun lalu,Bagus sekali. Namun tidak bisa ke puncak karena harus ada tour guide nya dari solo yang terjadwal. Over all dari awal pendakian hingga ke kawahnya cukup memuaskan dan mengesankan bagi pemula seperti saya. Gunung ini cocok untuk orang yang ingin trek mendaki medium.
tarie koe,6 tahun lalu,"Seribu kali ke kelud tidak akan bosan
Menikmati alam yang cakep
Wisata yang amat indah..bersama alam …"
Fiki Fawaidah,2 tahun lalu,"jangan berekspektasi tinggi dahulu,mungkin bagi beberapa orang ini sudah luar biasa namun sebenarnya kita jauh2 keatas hanya untuk melihat kawah ,bagi pejalan kaki mungkin sedikit mengecewakan mungkin juga tidak apabila mengambil sisi …"
Wahyu Tri Ningsih,2 tahun lalu,"Gunung legendaris di Kediri Jawa Timur, dengan keindahannya yang menyejukkan mata. Siapapun yang main ke kediri rugi kalau ga kesini dulu. Apalagi kalau ga ke kawah nya fyuh bener-bener sia-sia wkwk. Buat naik ke kawahnya bisa pake jasa …"
Ida Wahyunita,7 tahun lalu,Bagus cocok buat pecinta Alam. Tapi syang jalannya banyak yang rusak akibat letusan kelud thun 2014. Smpai skrang blum diperbaiki. Jembatan nya pun nyeremin. Jalannya jadi jauh. Lahan parkir kurang. Bedalah sma gunung kelud yg dlu sma …
Ekaning Benawi,8 tahun lalu,"Gunung yang memiliki tinggi 1731 mdpl ini memiliki bentang alam yang cantik. Gunung Kelud merupakan salah satu gunung berapi di Provinsi Jawa Timur, Indonesia, yang tergolong aktif. Gunung ini berada di perbatasan antara Kabupaten Kediri, …"
Samsul Arifin (Mr. Sam),Diedit 7 tahun lalu,"this is an active volcano, the last eruption is on February 14, 2014. Now this mountain is being renovated for some areas around it as tourism object. I think the renovation process is really taking time. we never know when to finish the …"
wahyu hidayat,8 tahun lalu,"Tak luput dari peta travel kita saat jalan ke kediri. Gunung kelud yang terletak di perbatasan kediri, blitar sangan cocok untuk di kunjungi yg suka hobi jalan di gunung. …"
affandi abidin,setahun lalu,"Salah satu destinasi wisata alam yang bagus di sekitar kota kediri. Tempatnya bagus, pemandangannya juga bagus, jalan kesana juga bagus. Dilokasi tersebut terdapat terowongan"
ayup Hariyati,Diedit 6 tahun lalu,"Gunung dengan pesona alami yang menjadi icon kota kediri, sangat asri dan sejuk. Hanya saja untuk menuju puncak gunungnya kita harus berjalan jauh sekali"
Christian Wijayanto,8 tahun lalu,"nice view of the green mountain. i took photo after eruption and it's still beautiful. this is one of the best mountain in East Java and it's still active. also the trip before reach the mountain was unforgettable moments, the road is good …"
Nita Dwi,Diedit 2 tahun lalu,"Kalau mau ga capek bisa naik ojek, PP 30k per orang.
Kalau mau mencoba sensasi jalan kaki sambil melihat view nya gunung Kelud boleh jalan kaki, tapi kita harus bawa persediaan minum karena perjalanan lama kurang lebih 45 menit, jarak dr batas  parkir motor sampai kawah Kelud kira-kira 5km"
Ratno Soegiarto,setahun lalu,"Gunung Kelut termasuk gunung yang aktif berada di ketinggian 1731mdpl.
Untuk mencapai lokasi bisa dengan roda empat atau roda dua via kediri.
Untuk mencapai puncak Gunung Kelut cukup dengan ojek di antar sampai puncak …"
iben darmawan,7 tahun lalu,"Datang sore hari, musim hujan. sehingga pemandangan gunung Kelud yang exotic tidak nampak, semua tertutup oleh kabut.
Jalan menuju area wisata GUnung Kelud sangat mudah, banyak petunjuk arah yang …"
Lintang Gading Pramesti_,3 tahun lalu,"Bagus siii, tapi waktu kesana nyampenya udah lumayan sore sama mendung jadi ga puas buat liat gunung Kelud nya. Buat naik keatas naik ojek ya, dulu sekitar 50k dari pertengahan jalan, karena gakuat jalan karena ternyata jauh dan ngejar …"
